Typical Measured Spectrum of Semrock NF03-488E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
345.0	0.01681
345.2	0.01675
345.4	0.01671
345.6	0.0167
345.8	0.01679
346.0	0.01766
346.2	0.02196
346.4	0.02126
346.6	0.0196
346.8	0.02174
347.0	0.02502
347.2	0.03054
347.4	0.07125
347.6	0.24304
347.8	0.45827
348.0	0.54268
348.2	0.57318
348.4	0.59345
348.6	0.61017
348.8	0.62464
349.0	0.63531
349.2	0.64747
349.4	0.6615
349.6	0.66868
349.8	0.66977
350.0	0.67828
350.2	0.69146
350.4	0.70278
350.6	0.70894
350.8	0.7172
351.0	0.72327
351.2	0.72986
351.4	0.73487
351.6	0.73995
351.8	0.74476
352.0	0.74671
352.2	0.75082
352.4	0.75269
352.6	0.75663
352.8	0.76204
353.0	0.76549
353.2	0.77157
353.4	0.77225
353.6	0.77212
353.8	0.78296
354.0	0.78499
354.2	0.78235
354.4	0.78724
354.6	0.78896
354.8	0.79229
355.0	0.79892
355.2	0.79969
355.4	0.80292
355.6	0.8085
355.8	0.80817
356.0	0.80938
356.2	0.8163
356.4	0.81604
356.6	0.81721
356.8	0.82308
357.0	0.82246
357.2	0.8211
357.4	0.82664
357.6	0.82871
357.8	0.82776
358.0	0.83124
358.2	0.83169
358.4	0.82836
358.6	0.832
358.8	0.83566
359.0	0.83473
359.2	0.83376
359.4	0.83558
359.6	0.82853
359.8	0.82541
360.0	0.83049
360.2	0.83229
360.4	0.83166
360.6	0.83412
360.8	0.83856
361.0	0.83438
361.2	0.83283
361.4	0.84113
361.6	0.84578
361.8	0.84093
362.0	0.83948
362.2	0.84326
362.4	0.84553
362.6	0.84229
362.8	0.844
363.0	0.84435
363.2	0.83834
363.4	0.8324
363.6	0.83467
363.8	0.83722
364.0	0.83014
364.2	0.82506
364.4	0.82879
364.6	0.83568
364.8	0.83622
365.0	0.83447
365.2	0.83301
365.4	0.82956
365.6	0.82971
365.8	0.83544
366.0	0.83693
366.2	0.83419
366.4	0.83089
366.6	0.83678
366.8	0.83901
367.0	0.83427
367.2	0.8324
367.4	0.83663
367.6	0.84122
367.8	0.83606
368.0	0.83072
368.2	0.8333
368.4	0.83739
368.6	0.83352
368.8	0.82759
369.0	0.82932
369.2	0.83604
369.4	0.83282
369.6	0.82768
369.8	0.82833
370.0	0.83627
370.2	0.84033
370.4	0.83742
370.6	0.83483
370.8	0.83878
371.0	0.84455
371.2	0.84136
371.4	0.83745
371.6	0.8406
371.8	0.84834
372.0	0.84802
372.2	0.84407
372.4	0.84183
372.6	0.84478
372.8	0.84716
373.0	0.84213
373.2	0.83571
373.4	0.8364
373.6	0.8409
373.8	0.84142
374.0	0.83742
374.2	0.8366
374.4	0.84101
374.6	0.84665
374.8	0.84468
375.0	0.84091
375.2	0.84438
375.4	0.84952
375.6	0.85069
375.8	0.84542
376.0	0.84124
376.2	0.84683
376.4	0.85531
376.6	0.8589
376.8	0.85665
377.0	0.85401
377.2	0.8558
377.4	0.86285
377.6	0.8635
377.8	0.85899
378.0	0.85812
378.2	0.86247
378.4	0.86602
378.6	0.86253
378.8	0.85585
379.0	0.85487
379.2	0.85832
379.4	0.8589
379.6	0.85328
379.8	0.84692
380.0	0.84832
380.2	0.85832
380.4	0.86468
380.6	0.866
380.8	0.86314
381.0	0.86638
381.2	0.8723
381.4	0.87888
381.6	0.87787
381.8	0.87263
382.0	0.87038
382.2	0.87562
382.4	0.88036
382.6	0.88035
382.8	0.87544
383.0	0.87436
383.2	0.87873
383.4	0.88627
383.6	0.88674
383.8	0.87961
384.0	0.87559
384.2	0.87806
384.4	0.88484
384.6	0.88729
384.8	0.88516
385.0	0.88159
385.2	0.88341
385.4	0.88878
385.6	0.89165
385.8	0.89115
386.0	0.88777
386.2	0.88916
386.4	0.89581
386.6	0.90178
386.8	0.90186
387.0	0.89759
387.2	0.89498
387.4	0.89758
387.6	0.90248
387.8	0.90481
388.0	0.90087
388.2	0.89718
388.4	0.89982
388.6	0.90637
388.8	0.91178
389.0	0.91026
389.2	0.90412
389.4	0.90132
389.6	0.9033
389.8	0.90977
390.0	0.91364
390.2	0.90883
390.4	0.90388
390.6	0.90393
390.8	0.91176
391.0	0.91859
391.2	0.91799
391.4	0.9115
391.6	0.90703
391.8	0.91024
392.0	0.91739
392.2	0.92384
392.4	0.92431
392.6	0.91809
392.8	0.91359
393.0	0.9163
393.2	0.92412
393.4	0.92864
393.6	0.92772
393.8	0.92227
394.0	0.92175
394.2	0.92453
394.4	0.9303
394.6	0.93201
394.8	0.92792
395.0	0.92342
395.2	0.92178
395.4	0.92562
395.6	0.93129
395.8	0.93238
396.0	0.92877
396.2	0.92356
396.4	0.92409
396.6	0.92869
396.8	0.93326
397.0	0.93341
397.2	0.93069
397.4	0.92715
397.6	0.92814
397.8	0.93465
398.0	0.94009
398.2	0.94033
398.4	0.93617
398.6	0.93097
398.8	0.93115
399.0	0.9342
399.2	0.93965
399.4	0.94135
399.6	0.93845
399.8	0.93425
400.0	0.9355
400.2	0.93981
400.4	0.94527
400.6	0.94608
400.8	0.94098
401.0	0.93567
401.2	0.93475
401.4	0.94019
401.6	0.94638
401.8	0.94932
402.0	0.94548
402.2	0.93924
402.4	0.93588
402.6	0.93928
402.8	0.9453
403.0	0.94983
403.2	0.94907
403.4	0.94393
403.6	0.93805
403.8	0.9391
404.0	0.94432
404.2	0.94971
404.4	0.95177
404.6	0.94783
404.8	0.94332
405.0	0.94165
405.2	0.94595
405.4	0.95351
405.6	0.95606
405.8	0.95444
406.0	0.94816
406.2	0.94355
406.4	0.94373
406.6	0.94827
406.8	0.95268
407.0	0.95347
407.2	0.94976
407.4	0.94593
407.6	0.94452
407.8	0.94707
408.0	0.95023
408.2	0.95243
408.4	0.94895
408.6	0.94439
408.8	0.94032
409.0	0.94189
409.2	0.94684
409.4	0.95191
409.6	0.95275
409.8	0.94848
410.0	0.94416
410.2	0.94264
410.4	0.94745
410.6	0.9535
410.8	0.95857
411.0	0.95802
411.2	0.95249
411.4	0.94673
411.6	0.94535
411.8	0.94797
412.0	0.95273
412.2	0.95519
412.4	0.9537
412.6	0.9489
412.8	0.94473
413.0	0.94458
413.2	0.94901
413.4	0.95358
413.6	0.95642
413.8	0.95384
414.0	0.9486
414.2	0.94564
414.4	0.94567
414.6	0.94894
414.8	0.9522
415.0	0.9535
415.2	0.94942
415.4	0.94541
415.6	0.94327
415.8	0.94526
416.0	0.94985
416.2	0.95346
416.4	0.95407
416.6	0.95122
416.8	0.94669
417.0	0.94495
417.2	0.94774
417.4	0.95322
417.6	0.95567
417.8	0.95535
418.0	0.95054
418.2	0.94553
418.4	0.94338
418.6	0.94439
418.8	0.95028
419.0	0.95462
419.2	0.95458
419.4	0.94918
419.6	0.9424
419.8	0.93594
420.0	0.93646
420.2	0.94227
420.4	0.94824
420.6	0.95262
420.8	0.95131
421.0	0.94519
421.2	0.94074
421.4	0.93873
421.6	0.94172
421.8	0.94698
422.0	0.95211
422.2	0.9509
422.4	0.94632
422.6	0.94035
422.8	0.93735
423.0	0.93768
423.2	0.94241
423.4	0.94773
423.6	0.94965
423.8	0.94843
424.0	0.94372
424.2	0.93875
424.4	0.93639
424.6	0.93927
424.8	0.94201
425.0	0.94428
425.2	0.94342
425.4	0.94098
425.6	0.93814
425.8	0.93739
426.0	0.93827
426.2	0.94042
426.4	0.94003
426.6	0.93852
426.8	0.93456
427.0	0.9313
427.2	0.93015
427.4	0.93347
427.6	0.93983
427.8	0.94625
428.0	0.9492
428.2	0.94723
428.4	0.94339
428.6	0.93831
428.8	0.93545
429.0	0.93781
429.2	0.94155
429.4	0.9462
429.6	0.94643
429.8	0.9454
430.0	0.93981
430.2	0.93614
430.4	0.93528
430.6	0.93742
430.8	0.94132
431.0	0.94475
431.2	0.94696
431.4	0.94515
431.6	0.94027
431.8	0.93794
432.0	0.93635
432.2	0.93779
432.4	0.93973
432.6	0.9403
432.8	0.94042
433.0	0.93924
433.2	0.93747
433.4	0.93729
433.6	0.93843
433.8	0.94096
434.0	0.94173
434.2	0.94069
434.4	0.93693
434.6	0.93285
434.8	0.93119
435.0	0.9304
435.2	0.93033
435.4	0.93541
435.6	0.94028
435.8	0.94387
436.0	0.94324
436.2	0.93981
436.4	0.93657
436.6	0.93281
436.8	0.93245
437.0	0.93586
437.2	0.93972
437.4	0.94286
437.6	0.94343
437.8	0.94196
438.0	0.93802
438.2	0.9356
438.4	0.93549
438.6	0.9383
438.8	0.94151
439.0	0.94399
439.2	0.94342
439.4	0.94103
439.6	0.9369
439.8	0.9349
440.0	0.93513
440.2	0.93988
440.4	0.94545
440.6	0.94953
440.8	0.94962
441.0	0.94589
441.2	0.93982
441.4	0.93467
441.6	0.93222
441.8	0.93308
442.0	0.93678
442.2	0.94087
442.4	0.94148
442.6	0.94009
442.8	0.93729
443.0	0.93358
443.2	0.93231
443.4	0.93392
443.6	0.93908
443.8	0.94408
444.0	0.94687
444.2	0.94654
444.4	0.94272
444.6	0.93817
444.8	0.93496
445.0	0.93536
445.2	0.93757
445.4	0.9415
445.6	0.945
445.8	0.9469
446.0	0.9457
446.2	0.94342
446.4	0.94136
446.6	0.94072
446.8	0.94203
447.0	0.94624
447.2	0.94816
447.4	0.94837
447.6	0.944
447.8	0.93842
448.0	0.9327
448.2	0.92974
448.4	0.93174
448.6	0.93646
448.8	0.94132
449.0	0.94591
449.2	0.9464
449.4	0.94355
449.6	0.93778
449.8	0.93296
450.0	0.93111
450.2	0.93346
450.4	0.93703
450.6	0.94312
450.8	0.94703
451.0	0.94761
451.2	0.94484
451.4	0.94018
451.6	0.93667
451.8	0.9359
452.0	0.93839
452.2	0.9441
452.4	0.94837
452.6	0.95155
452.8	0.9499
453.0	0.94639
453.2	0.94075
453.4	0.93692
453.6	0.93563
453.8	0.93818
454.0	0.94254
454.2	0.94629
454.4	0.94928
454.6	0.94737
454.8	0.94285
455.0	0.93718
455.2	0.93393
455.4	0.93299
455.6	0.936
455.8	0.94057
456.0	0.9453
456.2	0.9483
456.4	0.94788
456.6	0.94454
456.8	0.94112
457.0	0.93778
457.2	0.93679
457.4	0.93899
457.6	0.94306
457.8	0.94673
458.0	0.94834
458.2	0.94867
458.4	0.9455
458.6	0.94311
458.8	0.94123
459.0	0.94199
459.2	0.94469
459.4	0.94929
459.6	0.95313
459.8	0.95492
460.0	0.95478
460.2	0.95201
460.4	0.94948
460.6	0.9461
460.8	0.94528
461.0	0.94585
461.2	0.94688
461.4	0.94789
461.6	0.94748
461.8	0.94603
462.0	0.94378
462.2	0.94129
462.4	0.94181
462.6	0.94331
462.8	0.94753
463.0	0.95064
463.2	0.9534
463.4	0.95369
463.6	0.95168
463.8	0.94823
464.0	0.94414
464.2	0.94231
464.4	0.94242
464.6	0.94467
464.8	0.94846
465.0	0.9507
465.2	0.95171
465.4	0.94958
465.6	0.94637
465.8	0.94398
466.0	0.94337
466.2	0.94602
466.4	0.95066
466.6	0.95615
466.8	0.96173
467.0	0.96331
467.2	0.96177
467.4	0.95739
467.6	0.95204
467.8	0.94814
468.0	0.94692
468.2	0.94629
468.4	0.94926
468.6	0.95404
468.8	0.95831
469.0	0.96015
469.2	0.95862
469.4	0.95398
469.6	0.94797
469.8	0.94322
470.0	0.94197
470.2	0.94354
470.4	0.9481
470.6	0.95378
470.8	0.95759
471.0	0.95936
471.2	0.95736
471.4	0.9537
471.6	0.94862
471.8	0.94589
472.0	0.94559
472.2	0.94673
472.4	0.94918
472.6	0.95046
472.8	0.95093
473.0	0.94813
473.2	0.94453
473.4	0.94235
473.6	0.94245
473.8	0.94694
474.0	0.95372
474.2	0.96088
474.4	0.96674
474.6	0.9673
474.8	0.96439
475.0	0.95823
475.2	0.95207
475.4	0.94864
475.6	0.94827
475.8	0.95094
476.0	0.95495
476.2	0.95711
476.4	0.95598
476.6	0.95264
476.8	0.94807
477.0	0.94594
477.2	0.94797
477.4	0.95271
477.6	0.9593
477.8	0.96382
478.0	0.96377
478.2	0.96006
478.4	0.95488
478.6	0.95121
478.8	0.95009
479.0	0.95092
479.2	0.95134
479.4	0.9512
479.6	0.95027
479.8	0.95269
480.0	0.95838
480.2	0.96055
480.4	0.95225
480.6	0.94186
480.8	0.9462
481.0	0.83948
481.2	0.48045
481.4	0.16747
481.6	0.05022
481.8	0.018
482.0	0.00828
482.2	0.00479
482.4	0.00142
482.6	5.1968e-04
482.8	2.6289e-04
483.0	1.4161e-04
483.2	8.3136e-05
483.4	5.0676e-05
483.6	3.3028e-05
483.8	2.1712e-05
484.0	1.3537e-05
484.2	9.4036e-06
484.4	6.6508e-06
484.6	5.0439e-06
484.8	3.8253e-06
485.0	2.9208e-06
485.2	2.2373e-06
485.4	1.8399e-06
485.6	1.5804e-06
485.8	1.3616e-06
486.0	1.2093e-06
486.2	1.074e-06
486.4	1.0289e-06
486.6	1.0448e-06
486.8	1.0165e-06
487.0	9.551e-07
487.2	8.9815e-07
487.4	8.7321e-07
487.6	8.4896e-07
487.8	8.3279e-07
488.0	8.2426e-07
488.2	7.9936e-07
488.4	7.5496e-07
488.6	7.1304e-07
488.8	7.6838e-07
489.0	8.389e-07
489.2	9.2768e-07
489.4	1.047e-06
489.6	1.1413e-06
489.8	1.1553e-06
490.0	1.1694e-06
490.2	1.2746e-06
490.4	1.416e-06
490.6	1.5958e-06
490.8	1.8676e-06
491.0	2.2002e-06
491.2	2.654e-06
491.4	3.2015e-06
491.6	4.0891e-06
491.8	5.3558e-06
492.0	7.1724e-06
492.2	1.0706e-05
492.4	1.5981e-05
492.6	2.38e-05
492.8	3.5436e-05
493.0	5.6615e-05
493.2	9.2062e-05
493.4	1.9511e-04
493.6	4.6448e-04
493.8	9.2534e-04
494.0	0.00154
494.2	0.00273
494.4	0.00562
494.6	0.01303
494.8	0.0349
495.0	0.10744
495.2	0.32718
495.4	0.69901
495.6	0.92072
495.8	0.95392
496.0	0.9594
496.2	0.9662
496.4	0.96355
496.6	0.95531
496.8	0.94857
497.0	0.94988
497.2	0.95758
497.4	0.96255
497.6	0.96325
497.8	0.95882
498.0	0.95199
498.2	0.94871
498.4	0.94967
498.6	0.95503
498.8	0.96067
499.0	0.96432
499.2	0.96295
499.4	0.95652
499.6	0.94873
499.8	0.94347
500.0	0.94027
500.2	0.94238
500.4	0.94809
500.6	0.95363
500.8	0.95757
501.0	0.96004
501.2	0.95979
501.4	0.95681
501.6	0.95288
501.8	0.95065
502.0	0.95042
502.2	0.95066
502.4	0.95134
502.6	0.9534
502.8	0.95472
503.0	0.95298
503.2	0.9506
503.4	0.94952
503.6	0.94815
503.8	0.94792
504.0	0.95118
504.2	0.95565
504.4	0.96046
504.6	0.96365
504.8	0.96618
505.0	0.96649
505.2	0.9622
505.4	0.95655
